can	罐頭	罐头
adult body	成人身體	成人身体
dinner service	成套的餐具	成套的餐具
station of the cross	十字架站	十字架站
field glass	小型的雙筒望遠鏡	小型的双筒望远镜
cut glass	雕玻璃	雕玻璃
book bag	書包	书包
human waste	人糞尿	人粪尿
moon	月亮	月亮
suit	套裝	套装
beer	啤酒	啤酒
ocean	海洋	海洋
radio link	無線電通訊線路	无线电通信线路
sun river	太陽河	太阳河
sweet cup	甜杯	甜杯
black cat	黑貓（軟體名稱）	黑猫（软件名称）
spirit level	氣泡水準儀	气泡水准仪
shot glass	小酒杯(尤指飲用威士忌等烈性酒者)	小酒杯(尤指饮用威士忌等烈性酒者)
driving range	高爾夫練球場	高尔夫练球场
phone jack	聽筒插口	听筒插口
house martin	家燕	家燕
work-clothes	工作服	工作服
sea floor	海底	海底
body bag	帶有拉鍊的裝屍袋	带有拉链的装尸袋
death camp	（尤指戰時的）死亡集中營	（尤指战时的）死亡集中营
hospital ship	醫院船	医院船
oil color	油溶性染料	油溶性染料
full dress	禮服	礼服
evening star	昏星	昏星
sweet oil	橄欖油	橄榄油
television room	電視廣播室	电视广播室
computer store	儲存器	存储器
beer can	啤酒罐	啤酒罐
computer network	計算機網路	计算机网络
letter box	信箱	信箱
wall unit	壁櫃	壁柜
piece of material	一塊材料	一块材料
hand-held computer	掌上型電腦	掌上型电脑
coffee break	喝咖啡時間	喝咖啡时间
movie camera	電影攝影機	电影摄影机
chair	椅子	椅子
high tea	正式茶點	正式茶点
launch	下水	下水
ben	內室	内室
tv channel	電視通道	电视通道
lead glass	鉛玻璃	铅玻璃
horse-head	馬頭	马头
lead tree	鉛樹	铅树
air bag	氣囊	气囊
type metal	鉛字合金	铅字合金
safety island	安全島	安全岛
road surface	路面	路面
saturday night special	〈美俚〉週末特備品	〈美俚〉周末特备品
weapons system	武器系統	武器系统
side horse	鞍馬	鞍马
fish oil	魚油	鱼油
sound camera	同音攝影機	同音摄影机
english channel	（英法之間）英吉利海峽	（英法之间）英吉利海峡
true cat	真貓	真猫
cat food	貓的食物	猫的食物
long plane	長刨	长刨
baby rose	嬰兒玫瑰	婴儿玫瑰
south china sea	【旅】南海	【旅】南海
stone life face	石頭生活的臉	石头生活的脸
standing press	站立推	站立推
hard roll	硬包	硬包
sea fan	海扇	海扇
coach station	<英>長途公共汽車（總）站	<英>长途公共汽车（总）站
train station	火車站	火车站
gas gun	氣體自動槍	气体自动枪
tea family	茶科	茶科
marriage bed	婚床	婚床
great bear	大熊座	大熊座
restaurant	餐館	餐馆
trump card	王牌	王牌
sugar	糖	糖
road metal	鋪路石	铺路石
planet	行星	行星
living stone	活石	活石
transport	運輸	运输
half-length	半身像	半身像
simple machine	簡單機械	简单机械
earth color	礦物顏料	矿物颜料
two-year-old horse	兩歲的馬	两岁的马
live-forever	景天屬植物	景天属植物
post-horse	驛馬	驿马
coast range	海岸山脈	海岸山脉
post horse	（舊時驛站的）驛馬	（旧时驿站的）驿马
dry point	乾點	干点
beach ball	<美>（在海濱	<美>（在海滨
box spring	彈簧床墊	弹簧床垫
shot metal	鐵豆（鑄件缺陷）	铁豆（铸件缺陷）
holy oil	抹聖油禮	抹圣油礼
seven-spot	七點	七点
tea set	茶具	茶具
ground glass	毛玻璃	毛玻璃
black fly	黑蠅(蚋類)	黑蝇(蚋类)
memory board	儲存器板	存储器板
ring road	環行路	环行路
white wine	白葡萄酒	白葡萄酒
little bear	小熊座	小熊座
police van	廂式警車	厢式警车
device	裝置	装置
control stick	控制桿	控制杆
feed	飼料	饲料
wind park	一組用以發電的風力渦輪機	一组用以发电的风力涡轮机
platform	站臺	站台
pool	池	池
blood cell	血球	血球
paper plant	通草	通草
minute gun	每隔一分鐘放一次的葬禮炮或遇難求助炮	每隔一分钟放一次的葬礼炮或遇难求助炮
factor i	因子I	因子I
capital ship	主力艦	主力舰
corner post	角柱	角柱
slow match	緩燃引信	缓燃引信
coffee cup	咖啡杯	咖啡杯
grand river	格蘭德河	格兰德河
sea of japan	日本海	日本海
small-arm	輕武器	轻武器
fish ball	<美>炸魚丸	<美>炸鱼丸
starting block	起始塊	起始块
bottom round	底中圓腿肉	底中圆腿肉
five iron	五鐵	五铁
kick start	摩託車	摩託车
hair cell	毛細胞	毛细胞
fuel system	燃料係數	燃料系数
ten-spot	十元一張的紙幣	十元一张的纸币
side arm	佩槍（刀/劍）	佩枪（刀/剑）
second joint	第二關節	第二关节
operating room	操縱室	操纵室
tea service	茶具	茶具
studio	工作室	工作室
fox	狐狸	狐狸
sub	補充人員	补充人员
milk	奶	奶
hole	孔	孔
max	最大	最大
lunch	午餐	午餐
leg	腿	腿
natural glass	天然玻璃	天然玻璃
three-year-old horse	三歲的馬	三岁的马
daughter cell	子細胞	子细胞
old man of the mountain	山中老人	山中老人
covered stand	覆蓋的立場	覆盖的立场
hot seat	電椅	电椅
black tea	紅茶	红茶
china tree	楝樹（等於chinaberry）	楝树（等于chinaberry）
morning dress	（男式）常禮服	（男式）常礼服
summer camp	夏令營	夏令营
chair of state	元首職務	元首职务
market garden	以供應市場為目的的果菜園	以供应市场为目的的果菜园
car port	（房屋旁的）車棚	（房屋旁的）车棚
face guard	面具	面具
mother-in-law plant	岳母廠	岳母厂
sport car	比賽用汽車	比赛用汽车
ground rose	地面玫瑰	地面玫瑰
milk can	奶桶	奶桶
rock plant	巖生植物	岩生植物
sea-coast	海岸	海岸
wedding picture	結婚照	结婚照
american plane	美國懸鈴木	美国悬铃木
fuel line	燃料管路	燃料管路
asia	亞洲	亚洲
garden current	花園電流	花园电流
apartment	房間	房间
fake	假貨	假货
kitchen	廚房	厨房
century plant	龍舌蘭纖維	龙舌兰纤维
staff tree	【植】南蛇藤屬  植物	【植】南蛇藤属  植物
cover glass	保護玻璃	保护玻璃
base of operations	作戰基地	作战基地
screen door	紗門	纱门
eight-spot	八點	八点
truth drug	吐實藥	吐实药
hard steel	硬鋼	硬钢
drinking water	飲用水	饮用水
forget me drug	忘記我藥	忘记我药
ice machine	製冰機	制冰机
blue jack	短葉櫟	短叶栎
small boat	小艇	小艇
building supply house	建築物供應房屋	建筑物供应房屋
paris green	巴黎綠	巴黎绿
big ben	英國倫敦議會大廈頂的大鐘	英国伦敦议会大厦顶的大钟
cell wall	細胞壁	细胞壁
mail car	郵政車	邮政车
electric car	電車	电车
box camera	箱式照相機	箱式照相机
solid food	固體食物	固体食物
links course	濱海球場	滨海球场
gas plant	氣體分餾裝置	气体分馏装置
youth-on-age	青年時代	青年时代
business suit	普通服裝	普通服装
target range	靶場	靶场
coffee table	（常置於沙發前的）矮茶几	（常置于沙发前的）矮茶几
mother-of-thousands	成千上萬的母親	成千上万的母亲
back pack	揹包	背包
standard cell	標準單元	标准单元
hot water plant	熱水器	热水器
truck	卡車	卡车
tv dinner	冷凍快餐（食前加溫即可的）	冷冻快餐（食前加温即可的）
core bit	鑽心	钻心
aircraft	航空器	航空器
short iron	脆性鐵	脆性铁
sam	安全性帳戶管理器	安全性帐户管理器
ice plant	冰廠	冰厂
long-legs	(long-leg 的複數) 長腿	(long-leg 的复数) 长腿
farm building	農村建築	农村建筑
spring gun	彈簧槍	弹簧枪
black bear	（北美洲	（北美洲
sister ship	姐妹船	姐妹船
red wine	紅葡萄酒	红葡萄酒
small beer	淡啤酒	淡啤酒
fly front	(衣褲等的)暗門襟	(衣裤等的)暗门襟
white beer	白啤酒	白啤酒
street corner	轉角	转角
round window	圓窗	圆窗
rose oil	玫瑰油	玫瑰油
range animal	範圍動物	范围动物
o ring	O形環	O形环
dog rose	狗牙薔薇	狗牙蔷薇
rose of china	中國的玫瑰	中国的玫瑰
key ring	鑰匙圈	钥匙圈
china rose	月季	月季
hearing dog	（經過專門訓練為聾人提供幫助的）助聾犬	（经过专门训练为聋人提供帮助的）助聋犬
sea bottom	海底	海底
emergency room	急診室	急诊室
lay-by	路側停車帶	路侧停车带
wake board	滑板	滑板
watch guard	錶鏈	表链
fire iron	火鉤	火钩
picture window	大型落地窗	大型落地窗
blue stone	膽礬(天然硫酸銅)	胆矾(天然硫酸铜)
dance floor	舞池	舞池
space vehicle	航天交通工具	航天交通工具
mental hospital	精神病院	精神病院
lake bed	湖泊沉積礦	湖泊沉积矿
light arm	輕兵器	轻兵器
score paper	計分紙	计分纸
animal oil	動物油	动物油
stadium	露天大型運動場	露天大型运动场
black forest	黑森林	黑森林
bowl	碗	碗
chicken	小雞	小鸡
water jump	（越野賽馬時）須越過的水溝	（越野赛马时）须越过的水沟
shirt	襯衫	衬衫
bird	鳥	鸟
red bay	[南極洲	[南极洲
falls	瀑布	瀑布
meat	肉	肉
neck	脖子	脖子
ice mass	冰塊	冰块
new york bay	紐約灣	纽约湾
union jack	英國國旗	英国国旗
mobile river	阿拉巴馬州莫比爾河	阿拉巴马州莫比尔河
cash bar	現賣飲料櫃	现卖饮料柜
machine gun	機關槍	机关枪
sun plant	陽地植物	阳地植物
public transport	公共交通	公共交通
gas heat	瓦斯熱	瓦斯热
east china sea	中國東海	中国东海
side chair	無扶手單人椅	无扶手单人椅
rose bed	玫瑰床	玫瑰床
command post	指揮所	指挥所
communication system	通訊系統	通信系统
military vehicle	軍用車輛	军用车辆
glass eye	玻璃假眼	玻璃假眼
electric light	電光	电光
fire-on-the-mountain	山頂之火	山顶之火
river bottom	河底	河底
ice coffee	冰咖啡	冰咖啡
star apple	金星果	金星果
california coffee	加州咖啡	加州咖啡
china stone	瓷石	瓷石
wild dog	野狗	野狗
half-moon	半月	半月
german police dog		
launch area	發射區	发射区
soft water	軟水	软水
body suit	女式緊身衣褲	女式紧身衣裤
traffic island	安全島	安全岛
sugar water	糖開水	糖开水
long chain	長鏈	长链
orange	柑橘	柑橘
jail	監牢	监牢
stream	水流	水流
blue cat	藍貓	蓝猫
waste paper	廢紙	废纸
chair car	雙座而各有活動椅背的（鐵路）客車	双座而各有活动椅背的（铁路）客车
french window	落地長窗	落地长窗
giant	巨人	巨人
wide area network	廣域網路	广域网络
serving	服務	服务
base metal	基底金屬(合金中的主要金屬)	基底金属(合金中的主要金属)
electric fire	電暖爐	电暖炉
northern cross	北十字星	北十字星
plant product	植物產品	植物产品
roll film	膠捲	胶卷
plant material	植物體	植物体
police boat	公安艇	公安艇
shooting range	射擊場	射击场
sea animal	海洋動物	海洋动物
gas engine	燃氣機	燃气机
dry land	乾旱地區	干旱地区
safety catch	安全制動裝置	安全制动装置
box seat	劇院包廂	剧院包厢
apartment house	<美>隔成公寓的建築物	<美>隔成公寓的建筑物
jack-in-the-box	兒童玩偶盒	儿童玩偶盒
street clothes	便服	便服
death chair	電椅	电椅
memory access	儲存器存取	存储器存取
rock rose	沙漠座蓮	沙漠座莲
southern cross	南十字星座	南十字星座
london plane	二球是鈴木	二球是铃木
white blood cell	白血球	白血球
work-shirt	工作襯衫	工作衬衫
wing	翅膀	翅膀
bus station	公交車站	公交车站
assembly	與會者	与会者
breakfast	早餐	早餐
alcohol	酒精	酒精
essential	要素	要素
humans	人類（human的複數形式）	人类（human的复数形式）
spoke	輪輻	轮辐
silver mine	銀礦	银矿
staff-tree family	衛矛科	卫矛科
business lunch	工作午餐	工作午餐
light beer	輕淡啤酒	轻淡啤酒
cash machine	自動取款機	自动取款机
sports equipment	體育用品	体育用品
shop floor	工廠普通工人	工厂普通工人
unit cell	單胞	单胞
ready-mix	(混泥土	(混泥土
camp bed	行軍床	行军床
starting handle	起動搖把	起动摇把
paper bag	紙袋	纸袋
computer screen	計算機螢幕	计算机屏幕
electric main	電力幹線	电力干线
safety glass	安全玻璃	安全玻璃
size stick	量腳尺	量脚尺
loan office	貸款處	贷款处
power pack	電源組	电源组
water hole	水坑	水坑
florida key	美國南部	美国南部
stage setting	舞臺佈景	舞台布景
white fox	白狐	白狐
major suit	大牌（即橋牌中的黑桃與紅心）	大牌（即桥牌中的黑桃与红心）
squad car	巡邏警車	巡逻警车
window box	窗臺上的花盆箱	窗台上的花盆箱
foot rule	英制尺	英制尺
round file	圓銼	圆锉
brain cell	腦細胞	脑细胞
stone wall	石牆	石墙
wide screen	寬銀幕	宽银幕
near beer	淡啤酒	淡啤酒
facility	容易	容易
bank martin	銀行馬丁	银行马丁
salt	鹽	盐
painting	畫	画
bomb	炸彈	炸弹
switch	開關	开关
tree of knowledge	智慧樹	智慧树
fish doctor	魚醫	鱼医
basic color	鹼性顏料	碱性颜料
a-bomb	原子彈	原子弹
winter sweet	牛至	牛至
doctor-fish	醫生魚	医生鱼
cancer drug	癌症藥物	癌症药物
weather ship	氣象觀測船	气象观测船
dance hall	舞廳	舞厅
flying field	私人飛機場	私人飞机场
tea break	(供僱員	(供雇员
